FILE_SOURCE,SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,STORM_SPEED,STORM_DIR
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-01 06:00:00,NR,-13.1,103.1,NA,NA,NA,main,733,673,___________O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,28,320
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-01 09:00:00,NR,-12,102.2,NA,NA,NA,main,669,637,___________P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,27,320
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-01 12:00:00,NR,-11.1,101.4,NA,NA,NA,main,637,627,___________P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,22,315
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-01 15:00:00,NR,-10.4,100.7,NA,NA,NA,main,638,638,___________P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,16,310
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-01 18:00:00,NR,-10.1,100.1,NA,NA,NA,main,672,672,___________O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,9,275
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-01 21:00:00,NR,-10.3,99.7,NA,NA,NA,main,721,721,___________P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,9,220
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-02 00:00:00,NR,-10.8,99.5,NA,NA,NA,main,770,770,___________P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,13,195
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-02 03:00:00,NR,-11.6,99.4,NA,NA,NA,main,833,833,___________P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,15,190
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-02 06:00:00,NR,-12.3,99.2,NA,NA,NA,main,901,901,___________O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,13,200
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-02 09:00:00,NR,-12.8,98.9,NA,NA,NA,main,963,963,___________P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,12,215
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-02 12:00:00,NR,-13.3,98.6,NA,NA,NA,main,1025,1025,___________P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,12,215
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-02 15:00:00,NR,-13.7,98.2,NA,NA,NA,main,1088,1088,___________P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,11,215
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-02 18:00:00,NR,-14.2,97.9,NA,NA,NA,main,1150,1150,___________O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,11,210
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-02 21:00:00,NR,-14.7,97.6,NA,NA,NA,main,1213,1213,___________P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,11,205
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-03 00:00:00,NR,-15.1,97.4,NA,NA,NA,main,1260,1260,___________P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,10,205
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-03 03:00:00,NR,-15.6,97.2,NA,NA,NA,main,1316,1316,___________P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,10,200
ibtracs.SI.list.v04r01.csv,1862001S13103,1862,3,SI,WA,UNNAMED,1862-01-03 06:00:00,NR,-16.1,97,NA,NA,NA,main,1372,NA,___________O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,10,200
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-10 18:00:00,NR,-6.8,107.5,NA,NA,NA,main,0,0,___________O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,9,235
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-10 21:00:00,NR,-7,107.1,NA,NA,NA,main,0,0,___________P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,9,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-11 00:00:00,NR,-7.3,106.7,NA,NA,NA,main,0,0,___________P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,9,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-11 03:00:00,NR,-7.5,106.4,NA,NA,NA,main,11,0,___________P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,14,55
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-11 06:00:00,NR,-6.5,107.9,NA,NA,NA,main,0,0,______O____O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,16,55
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-11 09:00:00,NR,-6.6,107.7,NA,NA,NA,main,0,0,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,5,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-11 12:00:00,NR,-6.8,107.5,NA,NA,NA,main,0,0,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,5,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-11 15:00:00,NR,-6.9,107.2,NA,NA,NA,main,0,0,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,5,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-11 18:00:00,NR,-7,107,NA,NA,NA,main,0,0,______P____O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,5,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-11 21:00:00,NR,-7.2,106.8,NA,NA,NA,main,0,0,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-12 00:00:00,NR,-7.3,106.5,NA,NA,NA,main,0,0,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-12 03:00:00,NR,-7.4,106.3,NA,NA,NA,main,11,11,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-12 06:00:00,NR,-7.6,106,NA,NA,NA,main,49,49,______O____O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-12 09:00:00,NR,-7.8,105.7,NA,NA,NA,main,89,89,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,7,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-12 12:00:00,NR,-7.9,105.4,NA,NA,NA,main,123,123,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,7,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-12 15:00:00,NR,-8.1,105.1,NA,NA,NA,main,146,146,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,7,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-12 18:00:00,NR,-8.3,104.8,NA,NA,NA,main,173,173,______P____O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,7,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-12 21:00:00,NR,-8.5,104.5,NA,NA,NA,main,205,205,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,8,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-13 00:00:00,NR,-8.7,104.1,NA,NA,NA,main,245,245,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,8,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-13 03:00:00,NR,-8.9,103.8,NA,NA,NA,main,281,281,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,8,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-13 06:00:00,NR,-9.1,103.5,NA,NA,NA,main,318,318,______O____O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,8,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-13 09:00:00,NR,-9.3,103.2,NA,NA,NA,main,356,356,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,8,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-13 12:00:00,NR,-9.5,102.8,NA,NA,NA,main,401,401,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,8,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-13 15:00:00,NR,-9.7,102.5,NA,NA,NA,main,440,440,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,8,240
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-13 18:00:00,NR,-9.9,102.2,NA,NA,NA,main,479,479,______P____O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,8,235
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-13 21:00:00,NR,-10.1,101.8,NA,NA,NA,main,526,526,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,8,235
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-14 00:00:00,NR,-10.3,101.5,NA,NA,NA,main,565,565,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,7,230
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-14 03:00:00,NR,-10.6,101.3,NA,NA,NA,main,604,604,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,7,230
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-14 06:00:00,NR,-10.8,101,NA,NA,NA,main,643,643,______O____O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,7,225
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-14 09:00:00,NR,-11.1,100.8,NA,NA,NA,main,682,682,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,7,220
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-14 12:00:00,NR,-11.3,100.5,NA,NA,NA,main,721,721,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,7,215
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-14 15:00:00,NR,-11.6,100.3,NA,NA,NA,main,760,760,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,7,215
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-14 18:00:00,NR,-11.9,100.2,NA,NA,NA,main,792,792,______P____O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,210
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-14 21:00:00,NR,-12.1,100,NA,NA,NA,main,823,823,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,205
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-15 00:00:00,NR,-12.4,99.9,NA,NA,NA,main,855,855,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,195
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-15 03:00:00,NR,-12.7,99.8,NA,NA,NA,main,887,887,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,190
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-15 06:00:00,NR,-13,99.8,NA,NA,NA,main,912,912,______O____O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,185
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-15 09:00:00,NR,-13.3,99.8,NA,NA,NA,main,937,937,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,175
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-15 12:00:00,NR,-13.6,99.8,NA,NA,NA,main,964,964,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,175
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-15 15:00:00,NR,-13.9,99.9,NA,NA,NA,main,984,984,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,170
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-15 18:00:00,NR,-14.2,99.9,NA,NA,NA,main,1011,1005,______P____O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,165
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-15 21:00:00,NR,-14.4,100,NA,NA,NA,main,1023,1023,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,160
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-16 00:00:00,NR,-14.7,100.1,NA,NA,NA,main,1045,1039,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,155
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-16 03:00:00,NR,-15,100.3,NA,NA,NA,main,1062,1062,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,5,155
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-16 06:00:00,NR,-15.2,100.4,NA,NA,NA,main,1076,1076,______O____O___,NA,NA,NA,NA,NA,NA,NA,NA,-5,5,155
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-16 09:00:00,NR,-15.4,100.5,NA,NA,NA,main,1091,1091,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,4,150
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-16 12:00:00,NR,-15.6,100.6,NA,NA,NA,main,1105,1100,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,4,150
ibtracs.SI.list.v04r01.csv,1870101S07108,1870,8,SI,WA,UNNAMED,1870-04-16 15:00:00,NR,-15.8,100.7,NA,NA,NA,main,1120,1116,______P____P___,NA,NA,NA,NA,NA,NA,NA,NA,-5,4,145
